age,sex,life remaining
0y,male,"85 years, 0 months, 26 days"
0y,female,"86 years, 10 months, 23 days"
1y,male,"85 years, 2 months, 3 days"
1y,female,"86 years, 10 months, 5 days"
2y,male,"84 years, 6 months, 22 days"
2y,female,"86 years, 2 months, 4 days"
3y,male,"83 years, 5 months, 13 days"
3y,female,"85 years, 0 months, 28 days"
4y,male,"82 years, 0 months, 27 days"
4y,female,"83 years, 8 months, 29 days"
5y,male,"80 years, 7 months, 23 days"
5y,female,"82 years, 4 months, 14 days"
6y,male,"79 years, 4 months, 6 days"
6y,female,"81 years, 1 months, 10 days"
7y,male,"78 years, 2 months, 7 days"
7y,female,"79 years, 11 months, 16 days"
8y,male,"77 years, 1 months, 8 days"
8y,female,"78 years, 10 months, 20 days"
9y,male,"76 years, 0 months, 23 days"
9y,female,"77 years, 10 months, 6 days"
10y,male,"75 years, 0 months, 7 days"
10y,female,"76 years, 9 months, 20 days"
11y,male,"73 years, 11 months, 5 days"
11y,female,"75 years, 8 months, 22 days"
12y,male,"72 years, 9 months, 20 days"
12y,female,"74 years, 7 months, 13 days"
13y,male,"71 years, 7 months, 26 days"
13y,female,"73 years, 5 months, 27 days"
14y,male,"70 years, 5 months, 29 days"
14y,female,"72 years, 4 months, 8 days"
15y,male,"69 years, 4 months, 2 days"
15y,female,"71 years, 2 months, 19 days"
16y,male,"68 years, 2 months, 11 days"
16y,female,"70 years, 1 months, 4 days"
17y,male,"67 years, 0 months, 24 days"
17y,female,"68 years, 11 months, 23 days"
18y,male,"65 years, 11 months, 10 days"
18y,female,"67 years, 10 months, 15 days"
19y,male,"64 years, 9 months, 29 days"
19y,female,"66 years, 9 months, 8 days"
20y,male,"63 years, 8 months, 18 days"
20y,female,"65 years, 8 months, 2 days"
21y,male,"62 years, 7 months, 6 days"
21y,female,"64 years, 6 months, 25 days"
22y,male,"61 years, 5 months, 24 days"
22y,female,"63 years, 5 months, 18 days"
23y,male,"60 years, 4 months, 11 days"
23y,female,"62 years, 4 months, 12 days"
24y,male,"59 years, 2 months, 28 days"
24y,female,"61 years, 3 months, 5 days"
25y,male,"58 years, 1 months, 14 days"
25y,female,"60 years, 1 months, 28 days"
26y,male,"56 years, 11 months, 28 days"
26y,female,"59 years, 0 months, 23 days"
27y,male,"55 years, 10 months, 12 days"
27y,female,"57 years, 11 months, 17 days"
28y,male,"54 years, 8 months, 25 days"
28y,female,"56 years, 10 months, 12 days"
29y,male,"53 years, 7 months, 8 days"
29y,female,"55 years, 9 months, 8 days"
30y,male,"52 years, 5 months, 20 days"
30y,female,"54 years, 8 months, 4 days"
31y,male,"51 years, 4 months, 1 days"
31y,female,"53 years, 6 months, 29 days"
32y,male,"50 years, 2 months, 12 days"
32y,female,"52 years, 5 months, 26 days"
33y,male,"49 years, 0 months, 22 days"
33y,female,"51 years, 4 months, 22 days"
34y,male,"47 years, 11 months, 3 days"
34y,female,"50 years, 3 months, 19 days"
35y,male,"46 years, 9 months, 13 days"
35y,female,"49 years, 2 months, 17 days"
36y,male,"45 years, 7 months, 23 days"
36y,female,"48 years, 1 months, 15 days"
37y,male,"44 years, 6 months, 3 days"
37y,female,"47 years, 0 months, 14 days"
38y,male,"43 years, 4 months, 14 days"
38y,female,"45 years, 11 months, 14 days"
39y,male,"42 years, 2 months, 25 days"
39y,female,"44 years, 10 months, 14 days"
40y,male,"41 years, 1 months, 7 days"
40y,female,"43 years, 9 months, 15 days"
41y,male,"39 years, 11 months, 20 days"
41y,female,"42 years, 8 months, 17 days"
42y,male,"38 years, 10 months, 4 days"
42y,female,"41 years, 7 months, 20 days"
43y,male,"37 years, 8 months, 20 days"
43y,female,"40 years, 6 months, 25 days"
44y,male,"36 years, 7 months, 8 days"
44y,female,"39 years, 6 months, 1 days"
45y,male,"35 years, 5 months, 29 days"
45y,female,"38 years, 5 months, 8 days"
46y,male,"34 years, 4 months, 22 days"
46y,female,"37 years, 4 months, 18 days"
47y,male,"33 years, 3 months, 18 days"
47y,female,"36 years, 3 months, 29 days"
48y,male,"32 years, 2 months, 18 days"
48y,female,"35 years, 3 months, 12 days"
49y,male,"31 years, 1 months, 21 days"
49y,female,"34 years, 2 months, 27 days"
50y,male,"30 years, 0 months, 28 days"
50y,female,"33 years, 2 months, 14 days"
51y,male,"29 years, 0 months, 9 days"
51y,female,"32 years, 2 months, 3 days"
52y,male,"27 years, 11 months, 24 days"
52y,female,"31 years, 1 months, 24 days"
53y,male,"26 years, 11 months, 13 days"
53y,female,"30 years, 1 months, 17 days"
54y,male,"25 years, 11 months, 8 days"
54y,female,"29 years, 1 months, 13 days"
55y,male,"24 years, 11 months, 9 days"
55y,female,"28 years, 1 months, 11 days"
56y,male,"23 years, 11 months, 16 days"
56y,female,"27 years, 1 months, 12 days"
57y,male,"23 years, 0 months, 0 days"
57y,female,"26 years, 1 months, 16 days"
58y,male,"22 years, 0 months, 20 days"
58y,female,"25 years, 1 months, 23 days"
59y,male,"21 years, 1 months, 16 days"
59y,female,"24 years, 2 months, 3 days"
60y,male,"20 years, 2 months, 18 days"
60y,female,"23 years, 2 months, 16 days"
61y,male,"19 years, 3 months, 26 days"
61y,female,"22 years, 3 months, 3 days"
62y,male,"18 years, 5 months, 11 days"
62y,female,"21 years, 3 months, 24 days"
63y,male,"17 years, 7 months, 2 days"
63y,female,"20 years, 4 months, 19 days"
64y,male,"16 years, 9 months, 1 days"
64y,female,"19 years, 5 months, 20 days"
65y,male,"15 years, 11 months, 7 days"
65y,female,"18 years, 6 months, 26 days"
66y,male,"15 years, 1 months, 20 days"
66y,female,"17 years, 8 months, 8 days"
67y,male,"14 years, 4 months, 11 days"
67y,female,"16 years, 9 months, 27 days"
68y,male,"13 years, 7 months, 10 days"
68y,female,"15 years, 11 months, 23 days"
69y,male,"12 years, 10 months, 17 days"
69y,female,"15 years, 1 months, 27 days"
70y,male,"12 years, 2 months, 3 days"
70y,female,"14 years, 4 months, 8 days"
71y,male,"11 years, 5 months, 28 days"
71y,female,"13 years, 6 months, 27 days"
72y,male,"10 years, 10 months, 1 days"
72y,female,"12 years, 9 months, 25 days"
73y,male,"10 years, 2 months, 13 days"
73y,female,"12 years, 1 months, 1 days"
74y,male,"9 years, 7 months, 3 days"
74y,female,"11 years, 4 months, 16 days"
75y,male,"9 years, 0 months, 1 days"
75y,female,"10 years, 8 months, 9 days"
76y,male,"8 years, 5 months, 8 days"
76y,female,"10 years, 0 months, 11 days"
77y,male,"7 years, 10 months, 23 days"
77y,female,"9 years, 4 months, 22 days"
78y,male,"7 years, 4 months, 17 days"
78y,female,"8 years, 9 months, 14 days"
79y,male,"6 years, 10 months, 20 days"
79y,female,"8 years, 2 months, 16 days"
80y,male,"6 years, 5 months, 2 days"
80y,female,"7 years, 8 months, 0 days"
